lr-SGD,step,loss_step,top1_step,top5_step,epoch,val_top1,loss_epoch,top1_epoch,top5_epoch
0.10000001,49,,,,,,,,
,49,1.8311424255371094,32.8125,84.375,0,,,,
0.10000001,99,,,,,,,,
,99,1.718423843383789,35.15625,87.5,0,,,,
0.10000001,149,,,,,,,,
,149,1.6045150756835938,36.71875,90.625,0,,,,
0.10000001,199,,,,,,,,
,199,1.3518056869506836,50.78125,94.53125,0,,,,
0.10000001,249,,,,,,,,
,249,1.5330500602722168,42.96875,90.625,0,,,,
0.10000001,299,,,,,,,,
,299,1.3464751243591309,52.34375,94.53125,0,,,,
0.10000001,349,,,,,,,,
,349,1.2623971700668335,52.34375,92.96875,0,,,,
,389,,,,0,50.12019348144531,,,
,389,,,,0,,1.5772775411605835,41.76081848144531,89.62940979003906
0.10000001,399,,,,,,,,
,399,1.3788498640060425,44.53125,93.75,1,,,,
0.10000001,449,,,,,,,,
,449,1.2606205940246582,53.125,96.09375,1,,,,
0.10000001,499,,,,,,,,
,499,1.2480428218841553,53.125,96.09375,1,,,,
0.10000001,549,,,,,,,,
,549,1.2959619760513306,49.21875,93.75,1,,,,
0.10000001,599,,,,,,,,
,599,0.9103837013244629,65.625,99.21875,1,,,,
0.10000001,649,,,,,,,,
,649,1.0551798343658447,60.9375,91.40625,1,,,,
0.10000001,699,,,,,,,,
,699,1.0691477060317993,61.71875,93.75,1,,,,
0.10000001,749,,,,,,,,
,749,1.134508490562439,63.28125,94.53125,1,,,,
,779,,,,1,62.35977554321289,,,
,779,,,,1,,1.139180302619934,59.324920654296875,95.56089782714844
0.10000001,799,,,,,,,,
,799,1.1916790008544922,57.8125,98.4375,2,,,,
0.10000001,849,,,,,,,,
,849,1.2375518083572388,60.9375,95.3125,2,,,,
0.10000001,899,,,,,,,,
,899,0.9525958895683289,64.84375,96.875,2,,,,
0.10000001,949,,,,,,,,
,949,0.9027058482170105,65.625,95.3125,2,,,,
0.10000001,999,,,,,,,,
,999,1.1936432123184204,58.59375,93.75,2,,,,
0.10000001,1049,,,,,,,,
,1049,0.8792194724082947,71.09375,98.4375,2,,,,
0.10000001,1099,,,,,,,,
,1099,0.6236066222190857,77.34375,98.4375,2,,,,
0.10000001,1149,,,,,,,,
,1149,0.8788303732872009,67.1875,98.4375,2,,,,
,1169,,,,2,68.46955108642578,,,
,1169,,,,2,,0.9089179635047913,67.91666412353516,97.3878173828125
0.10000001,1199,,,,,,,,
,1199,0.812137246131897,72.65625,99.21875,3,,,,
0.10000001,1249,,,,,,,,
,1249,0.7308236360549927,75.78125,98.4375,3,,,,
0.10000001,1299,,,,,,,,
,1299,0.7361560463905334,69.53125,99.21875,3,,,,
0.10000001,1349,,,,,,,,
,1349,0.6351849436759949,78.90625,97.65625,3,,,,
0.10000001,1399,,,,,,,,
,1399,0.8855504989624023,67.96875,96.875,3,,,,
0.10000001,1449,,,,,,,,
,1449,0.811688244342804,71.09375,98.4375,3,,,,
0.10000001,1499,,,,,,,,
,1499,0.7709789872169495,70.3125,98.4375,3,,,,
0.10000001,1549,,,,,,,,
,1549,0.8699106574058533,70.3125,97.65625,3,,,,
,1559,,,,3,67.7784423828125,,,
,1559,,,,3,,0.7788939476013184,72.84455108642578,98.0068130493164
0.10000001,1599,,,,,,,,
,1599,0.602672815322876,78.125,100.0,4,,,,
0.10000001,1649,,,,,,,,
,1649,0.7513877749443054,71.875,99.21875,4,,,,
0.10000001,1699,,,,,,,,
,1699,0.791771650314331,75.0,97.65625,4,,,,
0.10000001,1749,,,,,,,,
,1749,0.6358097791671753,78.125,97.65625,4,,,,
0.10000001,1799,,,,,,,,
,1799,0.5930006504058838,78.90625,99.21875,4,,,,
0.10000001,1849,,,,,,,,
,1849,0.5303832292556763,79.6875,100.0,4,,,,
0.10000001,1899,,,,,,,,
,1899,0.7371710538864136,73.4375,98.4375,4,,,,
0.10000001,1949,,,,,,,,
,1949,0.6185175180435181,75.0,99.21875,4,,,,
